Frequency (Hz),Magnitude (dB),Phase (deg)
1,-0.999582796,1.0285E-06
1.12201845,-0.999582796,1.15399E-06
1.25892541,-0.999582796,1.2948E-06
1.41253754,-0.999582796,1.45279E-06
1.58489319,-0.999582796,1.63006E-06
1.77827941,-0.999582796,1.82896E-06
1.99526231,-0.999582796,2.05213E-06
2.23872114,-0.999582796,2.30252E-06
2.51188643,-0.999582796,2.58347E-06
2.81838293,-0.999582796,2.8987E-06
3.16227766,-0.999582796,3.2524E-06
3.54813389,-0.999582796,3.64925E-06
3.98107171,-0.999582796,4.09453E-06
4.46683592,-0.999582796,4.59414E-06
5.01187234,-0.999582796,5.15471E-06
5.62341325,-0.999582796,5.78367E-06
6.30957344,-0.999582796,6.48939E-06
7.07945784,-0.999582796,7.28121E-06
7.94328235,-0.999582796,8.16966E-06
8.91250938,-0.999582796,9.16651E-06
10,-0.999582796,1.0285E-05
11.2201845,-0.999582796,1.15399E-05
12.5892541,-0.999582796,1.2948E-05
14.1253754,-0.999582796,1.45279E-05
15.8489319,-0.999582796,1.63006E-05
17.7827941,-0.999582796,1.82896E-05
19.9526231,-0.999582796,2.05213E-05
22.3872114,-0.999582796,2.30252E-05
25.1188643,-0.999582796,2.58347E-05
28.1838293,-0.999582795,2.8987E-05
31.6227766,-0.999582795,3.2524E-05
35.4813389,-0.999582795,3.64925E-05
39.8107171,-0.999582795,4.09453E-05
44.6683592,-0.999582794,4.59414E-05
50.1187234,-0.999582794,5.15471E-05
56.2341325,-0.999582793,5.78367E-05
63.0957344,-0.999582792,6.48939E-05
70.7945784,-0.999582791,7.28121E-05
79.4328235,-0.99958279,8.16966E-05
89.1250938,-0.999582788,9.16651E-05
100,-0.999582786,0.00010285
112.201845,-0.999582783,0.000115399
125.892541,-0.99958278,0.00012948
141.253754,-0.999582776,0.000145279
158.489319,-0.999582771,0.000163006
177.827941,-0.999582764,0.000182896
199.526231,-0.999582756,0.000205213
223.872114,-0.999582745,0.000230252
251.188643,-0.999582732,0.000258347
281.838293,-0.999582715,0.00028987
316.227766,-0.999582694,0.00032524
354.813389,-0.999582668,0.000364925
398.107171,-0.999582635,0.000409453
446.683592,-0.999582593,0.000459413
501.187234,-0.99958254,0.00051547
562.341325,-0.999582474,0.000578367
630.957344,-0.99958239,0.000648939
707.945784,-0.999582285,0.000728121
794.328235,-0.999582153,0.000816965
891.250938,-0.999581986,0.00091665
1000,-0.999581777,0.001028498
1122.01845,-0.999581513,0.001153993
1258.92541,-0.999581181,0.001294801
1412.53754,-0.999580762,0.00145279
1584.89319,-0.999580236,0.001630057
1778.27941,-0.999579573,0.001828953
1995.26231,-0.999578738,0.002052117
2238.72114,-0.999577687,0.002302511
2511.88643,-0.999576364,0.002583456
2818.38293,-0.999574699,0.002898681
3162.27766,-0.999572602,0.003252367
3548.13389,-0.999569963,0.003649207
3981.07171,-0.99956664,0.004094464
4466.83592,-0.999562457,0.004594046
5011.87234,-0.999557191,0.005154578
5623.41325,-0.999550561,0.005783495
6309.57344,-0.999542215,0.006489136
7079.45784,-0.999531707,0.007280857
7943.28235,-0.99951848,0.008169152
8912.50938,-0.999501828,0.009165792
10000,-0.999480866,0.01028398
11220.1845,-0.999454477,0.011538523
12589.2541,-0.999421256,0.012946022
14125.3754,-0.999379437,0.014525091
15848.9319,-0.999326796,0.016296594
17782.7941,-0.999260531,0.018283913
19952.6231,-0.999177121,0.020513241
22387.2114,-0.999072133,0.02301391
25118.8643,-0.998939991,0.025818747
28183.8293,-0.998773682,0.028964472
31622.7766,-0.998564387,0.032492123
35481.3389,-0.998301019,0.036447515
39810.7171,-0.997969648,0.04088173
44668.3592,-0.997552778,0.045851629
50118.7234,-0.997028444,0.05142037
56234.1325,-0.996369099,0.057657914
63095.7344,-0.995540222,0.064641491
70794.5784,-0.994498608,0.072455976
79432.8235,-0.993190266,0.081194104
89125.0938,-0.991547852,0.090956433
100000,-0.989487574,0.101850922
112201.845,-0.986905493,0.113991929
125892.541,-0.983673179,0.127498377
141253.754,-0.979632712,0.142490767
158489.319,-0.974591128,0.159086586
177827.941,-0.968314498,0.177393592
199526.231,-0.960522098,0.197500346
223872.114,-0.950881402,0.219463307
251188.643,-0.939005103,0.243289864
281838.293,-0.924451914,0.268916929
316227.766,-0.906733541,0.296185253
354813.389,-0.885330822,0.32481067
398107.171,-0.859722232,0.354355064
446683.592,-0.82942749,0.384202021
501187.234,-0.79406714,0.413544525
562341.325,-0.753435359,0.441393942
630957.344,-0.707577867,0.466619542
707945.784,-0.656860591,0.488024436
794328.235,-0.602010146,0.504456112
891250.938,-0.544107341,0.51493863
1000000,-0.484522474,0.518802462
1122018.45,-0.424795597,0.515782329
1258925.41,-0.366481767,0.506057612
1412537.54,-0.310993122,0.490224161
1584893.19,-0.259470802,0.469205309
1778279.41,-0.212709447,0.44412559
1995262.31,-0.171140579,0.416176846
2238721.14,-0.134865843,0.386502321
2511886.43,-0.103722103,0.3561139
2818382.93,-0.07735904,0.325846124
3162277.66,-0.055313861,0.296342219
3548133.89,-0.03707386,0.268063212
3981071.71,-0.022123237,0.24131071
4466835.92,-0.009974517,0.216255601
5011872.34,-0.000187084,0.192967278
5623413.25,0.007623992,0.171440267
6309573.44,0.013785797,0.151616838
7079457.84,0.018569578,0.133405258
7943282.35,0.022195069,0.116694011
8912509.38,0.024835821,0.101362523
10000000,0.026624599,0.087289018
11220184.5,0.027658018,0.074356189
12589254.1,0.02799957,0.062455613
14125375.4,0.027680195,0.051492845
15848931.9,0.026696948,0.041396813
17782794.1,0.025014628,0.032138025
19952623.1,0.02258189,0.023755271
22387211.4,0.019373927,0.016376935
25118864.3,0.015458428,0.010210633
28183829.3,0.011056918,0.005480482
31622776.6,0.006558052,0.00231661
35481338.9,0.002443697,0.000638415
39810717.1,-0.000870552,0.000109852
44668359.2,-0.003198226,0.000230338
50118723.4,-0.004629034,0.00052168
56234132.5,-0.005430355,0.000679701
63095734.4,-0.005895997,0.00060335
70794578.4,-0.006245199,0.000329319
79432823.5,-0.006597878,-5.1968E-05
89125093.8,-0.00699603,-0.000452977
100000000,-0.00743655,-0.000812646
112201845,-0.007897587,-0.001098829
125892541,-0.008354416,-0.001301752
141253754,-0.008786879,-0.001425748
158489319,-0.00918163,-0.001482388
177827941,-0.009531745,-0.001485761
199526231,-0.009835304,-0.001449673
223872114,-0.010093818,-0.00138623
251188643,-0.010310861,-0.001305327
281838293,-0.010491037,-0.001214628
316227766,-0.010639268,-0.001119819
354813389,-0.010760347,-0.001024943
398107171,-0.010858686,-0.000932746
446683592,-0.010938192,-0.000844988
501187234,-0.01100224,-0.000762705
562341325,-0.011053687,-0.000686412
630957344,-0.011094917,-0.000616266
707945784,-0.0111279,-0.000552178
794328235,-0.011154245,-0.000493905
891250938,-0.011175266,-0.000441107
1000000000,-0.011192022,-0.000393395
